X,Y,id,left,top,right,bottom
85.724301523,26.721290492,"801",85.724301523,26.721290492,85.824301523,26.821290492
85.724301523,26.621290492,"802",85.724301523,26.621290492,85.824301523,26.721290492
85.724301523,26.521290492,"803",85.724301523,26.521290492,85.824301523,26.621290492
85.724301523,26.421290492,"804",85.724301523,26.421290492,85.824301523,26.521290492
85.724301523,26.321290492,"805",85.724301523,26.321290492,85.824301523,26.421290492
85.724301523,26.221290492,"806",85.724301523,26.221290492,85.824301523,26.321290492
85.724301523,26.121290492,"807",85.724301523,26.121290492,85.824301523,26.221290492
85.724301523,26.021290492,"808",85.724301523,26.021290492,85.824301523,26.121290492
85.724301523,25.921290492,"809",85.724301523,25.921290492,85.824301523,26.021290492
85.724301523,25.821290492,"810",85.724301523,25.821290492,85.824301523,25.921290492
85.724301523,25.721290492,"811",85.724301523,25.721290492,85.824301523,25.821290492
85.724301523,25.621290492,"812",85.724301523,25.621290492,85.824301523,25.721290492
85.724301523,25.521290492,"813",85.724301523,25.521290492,85.824301523,25.621290492
85.724301523,25.421290492,"814",85.724301523,25.421290492,85.824301523,25.521290492
85.724301523,25.321290492,"815",85.724301523,25.321290492,85.824301523,25.421290492
85.724301523,25.221290492,"816",85.724301523,25.221290492,85.824301523,25.321290492
85.724301523,25.121290492,"817",85.724301523,25.121290492,85.824301523,25.221290492
85.724301523,25.021290492,"818",85.724301523,25.021290492,85.824301523,25.121290492
85.724301523,24.921290492,"819",85.724301523,24.921290492,85.824301523,25.021290492
85.724301523,24.821290492,"820",85.724301523,24.821290492,85.824301523,24.921290492
85.724301523,24.721290492,"821",85.724301523,24.721290492,85.824301523,24.821290492
85.724301523,24.621290492,"822",85.724301523,24.621290492,85.824301523,24.721290492
85.724301523,24.521290492,"823",85.724301523,24.521290492,85.824301523,24.621290492
85.724301523,24.421290492,"824",85.724301523,24.421290492,85.824301523,24.521290492
85.724301523,24.321290492,"825",85.724301523,24.321290492,85.824301523,24.421290492
85.824301523,27.521290492,"826",85.824301523,27.521290492,85.924301523,27.621290492
85.824301523,27.421290492,"827",85.824301523,27.421290492,85.924301523,27.521290492
85.824301523,27.321290492,"828",85.824301523,27.321290492,85.924301523,27.421290492
85.824301523,27.221290492,"829",85.824301523,27.221290492,85.924301523,27.321290492
